batter_name,team,n_games_prior,fp_per_g_prior,fp_g_pred,delta
Spencer Horwitz,Pirates,36,3.9305555555555554,3.5088443116503756,0.4217112439051798
Nathaniel Lowe,Reds,26,4.596153846153846,4.174435936994482,0.4217179091593639
Jake Bauers,Brewers,33,5.2727272727272725,4.850215515638564,0.42251175708870825
Owen Caissie,Marlins,34,3.2794117647058822,2.853674586994278,0.42573717771160435
Nico Hoerner,Cubs,39,5.769230769230769,5.295696517464452,0.473534251766317
Nathan Church,Cardinals,31,4.596774193548387,4.111112340954372,0.4856618525940153
Xander Bogaerts,Padres,38,5.065789473684211,4.573760615298107,0.4920288583861039
Otto Lopez,Marlins,39,5.782051282051282,5.2886141275289384,0.4934371545223435
Byron Buxton,Twins,37,6.202702702702703,5.707386242963138,0.4953164597395645
Oneil Cruz,Pirates,38,6.723684210526316,6.225114176416851,0.49857003410946454
Jake McCarthy,Rockies,27,4.444444444444445,3.9411894481527527,0.5032549962916919
Mauricio Dubón,Braves,38,4.552631578947368,4.043833157924493,0.5087984210228749
James Wood,Nationals,40,6.8625,6.346591712828407,0.5159082871715928
Trevor Larnach,Twins,31,3.935483870967742,3.4046245308274132,0.5308593401403288
Munetaka Murakami,White Sox,39,6.128205128205129,5.572215434219152,0.5559896939859765
Carlos Correa,Astros,31,5.483870967741935,4.918744867957424,0.5651260997845107
Graham Pauley,Marlins,26,2.673076923076923,2.1046349808077744,0.5684419422691485
Bryan Reynolds,Pirates,40,5.3625,4.752443955913226,0.6100560440867735
Jonny DeLuca,Rays,28,4.464285714285714,3.8134638042188955,0.6508219100668189
Xavier Edwards,Marlins,40,5.35,4.6920183874903545,0.6579816125096452
Jordan Walker,Cardinals,37,6.283783783783784,5.621058800382216,0.662724983401568
José Tena,Nationals,28,3.3214285714285716,2.6504176277550693,0.6710109436735023
Troy Johnston,Rockies,36,4.513888888888889,3.8180908062223855,0.6957980826665038
Ryan O'Hearn,Pirates,37,5.5,4.677237329731821,0.8227626702681787
Shea Langeliers,Athletics,35,6.885714285714286,6.0573935734328,0.828320712281486
Brandon Marsh,Phillies,36,5.375,4.543534775659038,0.8314652243409624
Drake Baldwin,Braves,40,6.575,5.635530040220311,0.9394699597796894
Brooks Lee,Twins,36,4.847222222222222,3.8974163773818633,0.949805844840359
Seiya Suzuki,Cubs,26,6.134615384615385,5.153859239602977,0.9807561450124078
Ryan Jeffers,Twins,30,5.983333333333333,4.998838265914194,0.9844950674191395
Brice Turang,Brewers,34,6.852941176470588,5.8570615733815545,0.9958796030890333
Mickey Moniak,Rockies,32,6.0625,5.038959542723323,1.0235404572766766
CJ Abrams,Nationals,39,6.551282051282051,5.505466063165511,1.0458159881165399
Brandon Lowe,Pirates,34,6.5,5.305047244613809,1.1949527553861907
Ozzie Albies,Braves,40,5.95,4.656128857003856,1.293871142996144
Matt Olson,Braves,40,7.3125,6.00418090046561,1.3083190995343896
Liam Hicks,Marlins,37,5.756756756756757,4.386268327882349,1.370488428874408
