feature,n,pearson_r,pearson_p,spearman_r,spearman_p
k_pct_prior,5766,0.24001447049090566,2.3820042062519854e-76,0.23732847872369636,1.212029087984512e-74
k_bb_pct_prior,5766,0.22823333745381663,5.058408955420087e-69,0.22326172977934783,4.7194921023076063e-66
xfip_prior,5766,-0.2252161145532327,3.2733545622305506e-67,-0.2190628385902801,1.3374508418659672e-63
whiff_pct_prior,5766,0.21695703107143904,2.1727535282724975e-62,0.21258879603326405,6.425083638261105e-60
siera_prior,5766,-0.21139133660131854,2.9899869701312776e-59,-0.2031370766342258,9.284950708015382e-55
csw_pct_prior,5766,0.20398644005166303,3.269352222807165e-55,0.20033211667275197,2.820716274113841e-53
xwoba_against_prior,5766,-0.19453426697961798,2.784345362128776e-50,-0.19066891707960754,2.447826645949831e-48
whip_prior,5766,-0.15605151884021995,9.292000956582235e-33,-0.15548224467949864,1.5745981344192632e-32
ip_per_start_prior,5766,0.1478792750034818,1.4910366845358654e-29,0.14621699431977575,6.364057559639893e-29
era_prior,5766,-0.1302504019380764,3.062738599587685e-23,-0.13310562882980387,3.304504453862695e-24
wins_prior,5766,0.1175184746657857,3.4666800157170085e-19,0.1125199603142609,1.0394981019079688e-17
prior_pitches,5766,0.08918155902244253,1.1690872620503523e-11,0.08700262283524725,3.6509827328704704e-11
hr_per_9_prior,5766,-0.08775725241901225,2.468757104285668e-11,-0.08675000361648845,4.158880925265155e-11
own_team_xwoba_prior,5766,0.08564511503678522,7.319856224583748e-11,0.08400572743237517,1.671728224542846e-10
hard_hit_pct_prior,5766,-0.0846820045993478,1.1913142857733573e-10,-0.07475932552033587,1.319566353752414e-08
opp_xwoba_prior,5766,-0.06982904585513448,1.109919289911227e-07,-0.06331865355972613,1.4954973641698336e-06
barrel_pct_prior,5766,-0.06718451254781524,3.2858927364279394e-07,-0.06789308720746752,2.466296452065911e-07
days_of_rest,5766,-0.06298226252087288,1.699503045729078e-06,-0.028260766246572054,0.03187924366397345
is_home,5766,0.059442228095581064,6.280713199877111e-06,0.057538077028367315,1.2323685925390184e-05
gb_pct_prior,5766,0.02668672406865297,0.04272830867317846,0.02227948184610578,0.09071894866893716
bb_pct_prior,5766,-0.024550795968585597,0.06230466173969861,-0.024160191205491996,0.0665865781671975
park_factor,5766,-0.02334039489898709,0.0763628673073079,-0.014197900523817798,0.28106653806074505
fb_pct_prior,5766,-0.018687474986132088,0.15594731369189246,-0.015976838271549196,0.2251288536004294
