n,rmse,r2,mae,feature
2868,9.927353219026905,0.060517378814886835,8.117449374844028,k_pct_prior
2868,9.955859753976693,0.05511415699743383,8.126330201081798,k_bb_pct_prior
2868,9.956906499767104,0.054915458482790114,8.123989006842228,xfip_prior
2868,9.990990146656173,0.04843411603403358,8.159503987226985,siera_prior
2868,9.994849490473445,0.047698827708710256,8.187573300680686,whiff_pct_prior
2868,10.052439073556865,0.03669303375154054,8.22686504621878,xwoba_against_prior
2868,10.054133994079367,0.03636816405969978,8.230446863002216,csw_pct_prior
2868,10.096426177464638,0.028244180568395838,8.24737703464019,whip_prior
2868,10.117293609959697,0.02422315291323729,8.260125586569321,ip_per_start_prior
2868,10.137311457817454,0.020358033059958425,8.294927986223064,era_prior
2868,10.195391224179275,0.009100537804801467,8.333724042334183,wins_prior
2868,10.201532323774758,0.007906460041962493,8.336644704975704,hr_per_9_prior
2868,10.203094768939868,0.007602542863633821,8.348690545216902,prior_pitches
2868,10.222432677689344,0.0038371994777576246,8.36202225638787,hard_hit_pct_prior
2868,10.224961520354649,0.0033442736419185826,8.364812846169439,barrel_pct_prior
2868,10.227882137769905,0.002774830756984703,8.376123532257898,is_home
2868,10.229613954690326,0.0024370956110801867,8.370819484396414,own_team_xwoba_prior
2868,10.23670151004207,0.0010543002007574742,8.36970666063034,days_of_rest
2868,10.241918701035758,3.580443112582987e-05,8.387582330947241,opp_xwoba_prior
2868,10.242567549546317,-9.089952935581458e-05,8.381593955775811,gb_pct_prior
2868,10.243041624893616,-0.00018347971698440269,8.379774483660356,bb_pct_prior
2868,10.243586118524187,-0.0002898168829639225,8.382761950822745,fb_pct_prior
2868,10.253555331514386,-0.0022377586723683063,8.383501637561926,park_factor
