n,rmse,r2,mae,feature
32341,4.585328320703001,0.029218132570479893,3.5259797920604115,fp_per_g_prior
32341,4.589438477231619,0.027476990632073095,3.5225041102935144,pa_per_g_prior
32341,4.611329701051957,0.01817716276363024,3.541704900026587,xwoba_prior
32341,4.627611474644733,0.011231643921541301,3.565883224494619,hr_per_pa_prior
32341,4.62887087593035,0.010693385429683344,3.581783740194081,barrel_pct_prior
32341,4.630997247469341,0.009784258059480466,3.5917156836580313,hard_hit_pct_prior
32341,4.647247563291505,0.002822668514038673,3.5635359668655595,sb_per_g_prior
32341,4.65054824440492,0.0014056864504304878,3.573853313967961,bb_pct_prior
32341,4.651753315728043,0.0008880987511893368,3.573752058118887,fb_pct_prior
32320,4.65198424332258,0.0008246129075009101,3.573436171873174,own_team_xwoba_prior
32341,4.652142872814718,0.0007207522079957229,3.574479977400871,k_pct_prior
32341,4.6524270486868335,0.0005986666518683625,3.5750931192757776,sweet_spot_pct_prior
32341,4.652519747669306,0.000558840381120751,3.5708699292975052,park_factor
32341,4.654189870593319,-0.00015883059217514095,3.575717026648791,is_home
