pitcher_id,pitcher_name,team,game_date,n_starts_prior,fp_projection,avg_fp_actual,n_starts_actual,k_pct_prior,bb_pct_prior,k_bb_pct_prior,csw_pct_prior,whiff_pct_prior,hard_hit_pct_prior,barrel_pct_prior,gb_pct_prior,fb_pct_prior,xwoba_against_prior,era_prior,whip_prior,xfip_prior,siera_prior,ip_per_start_prior,hr_per_9_prior,wins_prior,is_home,park_factor,days_of_rest,prior_pitches,own_team_oaa,model_se,sample_se,total_se,lo80,hi80
694819,Misiorowski,Brewers,2026-05-25,11,19.22146192070275,21.68,11,0.3977072310405644,0.08447121820615797,0.3132360128344064,0.33514280487865167,0.32935040929495646,0.3622771707878091,0.04902242668200115,0.3881185751852737,0.27265120726751135,0.25037623706693396,1.828125,0.828125,1.45690625,0.841875901707621,5.818181818181818,0.5625,5,0.5,100.0,5.0,73.54545454545455,-6.830639494026705,0.7765415438922528,2.0851441405707476,2.2250489559439104,16.373399257094547,22.069524584310955
656302,Cease,Blue Jays,2026-05-24,11,17.125818938292422,16.41,11,0.3411431037671866,0.09654813201382642,0.24459497175336017,0.3049406819201029,0.33637033818934126,0.377673878498961,0.06530375259748197,0.44214108910891087,0.20621905940594062,0.2829745569704305,3.0483870967741935,1.2096774193548387,1.9004193548387098,1.554662336137167,5.636363636363637,0.7258064516129032,3,0.5,100.0,5.0,82.27272727272727,3.4153197470133523,0.7625621892549955,2.0851441405707476,2.220208814377128,14.283951655889698,19.967686220695146
607192,Glasnow,Dodgers,2026-04-29,6,16.93640871704815,18.53,6,0.3120291936571211,0.09553519400405891,0.2164939996530622,0.31308406808430383,0.27829244321490976,0.3851735796157335,0.07363733817102333,0.46149440776175715,0.25869155100390784,0.2585802822002284,2.560344827586207,0.8275862068965518,2.4713620689655174,1.4224174579985391,6.444444444444444,0.9310344827586208,3,0.5,100.0,5.0,97.5,58.060435699226986,0.7001343740422894,2.3570226039551585,2.4588094064549098,13.789132676785865,20.083684757310433
660271,Ohtani,Dodgers,2026-05-27,9,16.461034862134515,20.14,9,0.3087662337662338,0.059988038277511965,0.24877819548872182,0.30339593114241004,0.28121885588997414,0.37812187812187814,0.038211788211788215,0.48829431438127086,0.25627090301003347,0.23872290834291557,0.8181818181818182,0.8181818181818182,2.4348,1.6487605215419494,6.111111111111111,0.32727272727272727,5,0.5,100.0,5.0,72.22222222222223,58.060435699226986,0.7816900779407885,2.182178902359924,2.317961203268044,13.494044521951418,19.42802520231761
519242,Sale,Braves,2026-05-28,11,16.44146964839385,20.84,11,0.30651811131834694,0.06325073657173075,0.2432673747466162,0.31472726240168103,0.271942356668116,0.3253088139686078,0.07710597195133279,0.4634380244545673,0.24090146247902183,0.27247891760061344,2.014925373134328,0.9402985074626866,2.2457910447761193,1.3853981864095495,6.090909090909091,0.8059701492537313,8,0.5,100.0,5.0,76.54545454545455,44.39915671117358,0.558276577677466,2.0851441405707476,2.1585872287539796,13.678477995588754,19.204461301198943
650911,"Sánchez, C",Phillies,2026-05-27,12,16.32927028995358,22.07,12,0.28437968306603323,0.050378218679163596,0.23400146438686964,0.3170759175586173,0.29570284049526585,0.4209183673469387,0.07568027210884354,0.594488188976378,0.16576677915260593,0.27336344594275314,1.4747899159663866,1.1218487394957983,1.9108319327731091,0.8378127449054976,6.611111111111111,0.3403361344537815,6,0.5,100.0,5.0,78.75,-30.73787772312017,0.7223948055164733,2.041241452319315,2.1652992683931362,13.557687226410366,19.100853353496795
695505,"Burns, Ch",Reds,2026-05-26,11,15.45749688748641,18.1,11,0.3050928381962865,0.08154158215010142,0.2235512560461851,0.2915273966907791,0.3103592702903947,0.41348973607038125,0.07514662756598241,0.4318822424052615,0.2062323833385531,0.2782955275769248,1.9585492227979275,0.9637305699481866,2.478103626943005,1.9792015532487497,5.848484848484848,1.1191709844559585,7,0.5,100.0,5.0,73.18181818181819,30.73787772312017,0.6509531285641367,2.0851441405707476,2.1843914627520316,12.66147581516381,18.25351795980901
666200,Luzardo,Phillies,2026-05-30,11,15.054424071056708,13.45,11,0.2692022867975947,0.06353787306168258,0.20566441373591215,0.3151893129981182,0.29732474114309265,0.32779311809685646,0.057694350042480885,0.468514653842664,0.19993648489247798,0.28308470952571185,3.796875,1.234375,2.14334375,1.939748464754019,5.818181818181818,0.5625,4,0.5,100.0,5.0,69.72727272727273,-30.73787772312017,0.9750990328852694,2.0851441405707476,2.301878409232405,12.10801970723923,18.000828434874187
668909,"Williams, G",Guardians,2026-05-27,12,14.895461273196705,17.76,12,0.2739772974238093,0.08985394017241152,0.18412335725139775,0.31491086883901726,0.27803977537153673,0.4701893223148213,0.1184256600602283,0.48085446934252646,0.2111138471640811,0.3180044024035344,3.065502183406114,1.074235807860262,2.4206288209606988,1.7142284819222295,6.361111111111111,1.0611353711790394,8,0.5,100.0,5.0,87.5,3.4153197470133523,0.6157974416888164,2.041241452319315,2.132105334137401,12.166366445500831,17.62455610089258
693645,Schlittler,Yankees,2026-05-26,12,14.887155684196166,19.12,12,0.2875699271062892,0.06823266219239374,0.21933726491389546,0.2712096026595915,0.24959765164566142,0.39354898222741524,0.05959043109279872,0.46677554080102807,0.23650674662668666,0.27759444313263276,1.5,0.8472222222222222,2.1560555555555556,1.105088102282057,6.0,0.375,7,0.5,100.0,5.0,74.83333333333333,3.4153197470133523,0.5107707972817772,2.041241452319315,2.10417524793505,12.193811366839302,17.58050000155303
