rank,name,team,role,IP,GS,SV,K,ERA,PROJ
102,Michael Lorenzen,KC,SP,141.66666666666663,26,0,127,4.63764705882353,227.0
103,Joey Cantillo,CLE,SP,95.33333333333331,13,1,108,3.2097902097902105,225.0
104,Nick Martinez,CIN,SP,165.66666666666663,26,0,116,4.454728370221329,225.0
105,Logan Allen,CLE,SP,156.66666666666663,29,0,122,4.251063829787235,225.0
106,Charlie Morton,ATL,SP,142.0,27,0,149,5.830985915492958,224.0
107,Abner Uribe,MIL,RP,75.33333333333331,0,7,90,1.6725663716814163,223.0
108,Dennis Santana,PIT,CLOSER,70.33333333333331,0,16,60,2.1753554502369674,223.0
109,Eury Pérez,MIA,SP,95.33333333333331,20,0,105,4.248251748251749,223.0
110,Tyler Glasnow,LAD,SP,90.33333333333331,18,0,106,3.18819188191882,220.0
111,Landen Roupp,SF,SP,106.66666666666667,22,0,102,3.796875,220.0
112,Grant Holmes,ATL,SP,115.0,21,0,123,3.991304347826087,220.0
113,Simeon Woods Richardson,MIN,SP,111.33333333333331,22,0,107,4.041916167664671,219.0
114,Camilo Doval,NYY,CLOSER,65.33333333333331,0,16,72,3.5816326530612255,219.0
115,Luis Severino,OAK,SP,162.66666666666663,29,0,124,4.53688524590164,217.0
116,Sean Burke,CWS,SP,134.33333333333331,22,0,133,4.220843672456576,217.0
117,Jeremiah Estrada,SD,RP,73.0,0,3,108,3.452054794520548,215.0
118,JP Sears,SD,SP,135.66666666666663,27,0,117,5.041769041769043,215.0
119,Garrett Whitlock,BOS,RP,72.0,0,1,91,2.25,214.0
120,Adrian Houser,TB,SP,125.0,21,0,92,3.312,214.0
121,Emmet Sheehan,LAD,SP,73.33333333333331,12,0,89,2.8227272727272736,213.0
122,Ryan Walker,SF,CLOSER,61.333333333333336,0,17,60,4.108695652173913,212.0
123,Brandon Woodruff,MIL,SP,64.66666666666667,12,0,83,3.2010309278350513,211.0
124,Shawn Armstrong,TEX,RP,74.0,2,9,74,2.310810810810811,209.0
125,Slade Cecconi,CLE,SP,132.0,23,0,109,4.295454545454546,209.0
126,Jose Quintana,MIL,SP,131.66666666666663,24,0,89,3.9645569620253176,207.0
127,Tomoyuki Sugano,BAL,SP,157.0,30,0,106,4.643312101910828,206.0
128,Bryce Elder,ATL,SP,156.33333333333331,28,0,131,5.296375266524521,200.0
129,Dustin May,BOS,SP,132.33333333333331,23,0,123,4.964735516372797,200.0
130,Calvin Faucher,MIA,CLOSER,60.333333333333336,0,15,59,3.281767955801105,199.0
131,Bailey Ober,MIN,SP,146.33333333333331,27,0,120,5.104783599088839,198.0
